"id","id_session","id_YM","id_GA","created","location","branch","direction","amount","price"
"15","e70acf53510a6d7e46f75e16bf37a4eb",,,"2020-12-23 10:35:19","Yeysk","Выездное обслуживание оборудования","Спецтехника","100","800"
"19","20d25acbd2795a7359e42fadbc91cc25",,,"2020-12-23 10:48:21","St Petersburg","Выездное обслуживание оборудования","Торговое оборудование","2","5000"
"20","7af0528d1dc81ea5a58205ed46fd8272",,,"2020-12-23 10:49:58","St Petersburg","Здравоохранение и медицина","Обслуживание медицинского оборудования","5","10000"
"21","20d25acbd2795a7359e42fadbc91cc25",,,"2020-12-23 10:50:02","St Petersburg","Мобильные сотрудники","Клининг","12","700"
"22","20d25acbd2795a7359e42fadbc91cc25",,,"2020-12-23 10:50:08","St Petersburg","Мобильные сотрудники","Клининг","120","610"
"23","e70acf53510a6d7e46f75e16bf37a4eb",,,"2020-12-23 10:51:39","Yeysk","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","1","5000"
"25","08d113256a6b43aa56933083cd4afdd1",,,"2020-12-23 12:13:32","Moscow","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","200","790"
"26","08d113256a6b43aa56933083cd4afdd1",,,"2020-12-23 12:14:00","Moscow","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","1000","По запросу"
"27","08d113256a6b43aa56933083cd4afdd1",,,"2020-12-23 12:14:03","Moscow","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","300","По запросу"
"28","08d113256a6b43aa56933083cd4afdd1",,,"2020-12-23 12:14:07","Moscow","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","250","По запросу"
"29","08d113256a6b43aa56933083cd4afdd1",,,"2020-12-23 12:14:10","Moscow","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","200","790"
"30","20350ef6faa93b10cb4d17be08ab6fe3",,,"2020-12-23 13:07:43","St Petersburg","Управление недвижимостью, ЖКХ","Обслуживание и ремонт БЦ/ТЦ ","22","1990"
"31","20350ef6faa93b10cb4d17be08ab6fe3",,,"2020-12-23 13:45:57","St Petersburg","Управление недвижимостью, ЖКХ","Обслуживание и ремонт БЦ/ТЦ ","10","20000"
"32","20350ef6faa93b10cb4d17be08ab6fe3",,,"2020-12-23 13:46:03","St Petersburg","Управление недвижимостью, ЖКХ","Обслуживание и ремонт БЦ/ТЦ ","123","1840"
"33","20350ef6faa93b10cb4d17be08ab6fe3",,,"2020-12-23 13:46:11","St Petersburg","Управление недвижимостью, ЖКХ","Обслуживание и ремонт БЦ/ТЦ ","22","1990"
"34","c2f488b5fa8edd4c0c548d0e0705eb5a",,,"2020-12-23 14:07:31","Moscow","Мобильные сотрудники","Клининг","20","700"
"35","c93f8bd2c9bcf56f9fbb75e897c18428",,,"2020-12-23 14:12:35","Krasnoyarsk","Выездное обслуживание оборудования","Технологическое оборудование","20","17500"
"36","c93f8bd2c9bcf56f9fbb75e897c18428",,,"2020-12-23 14:12:41","Krasnoyarsk","Выездное обслуживание оборудования","Технологическое оборудование","990","По запросу"
"37","143ae981320482c6ea935cc8bebc97d2",,,"2020-12-23 15:06:07","Kazan’","Выездное обслуживание оборудования","Кондиционирование и вентиляция","5","5000"
"38","f49b3b2fad126da7f1d53ea5215d94fa",,,"2020-12-23 16:15:20","Kyiv","Управление недвижимостью, ЖКХ","ЖКХ сервис","50","97000"
"39","f49b3b2fad126da7f1d53ea5215d94fa",,,"2020-12-23 16:16:15","Kyiv","Управление недвижимостью, ЖКХ","ЖКХ сервис","10","20000"
"40","81ef63f49c846ad7f8ed8f838e7312c2",,,"2020-12-23 17:02:21","Moscow","Выездное обслуживание оборудования","Технологическое оборудование","5","5000"
"41","8987ccb85448bdaa5aaf70436478e282",,,"2020-12-23 17:18:52","Moscow","Мобильные сотрудники","Доставщики еды","150","52700"
"42","8987ccb85448bdaa5aaf70436478e282",,,"2020-12-23 17:19:23","Moscow","Мобильные сотрудники","Водители","150","52700"
"43","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:29:22","Tyumen","Выездное обслуживание оборудования","Торговое оборудование","3","5000"
"44","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:29:29","Tyumen","Выездное обслуживание оборудования","Технологическое оборудование","3","5000"
"45","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:29:45","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","3","5000"
"46","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:30:34","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","3","5000"
"47","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:07","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","25","21450"
"48","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:14","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","10","9500"
"49","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:19","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","20","17500"
"50","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:39","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","50","41200"
"51","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:48","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","200","157200"
"52","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:55","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","10000","По запросу"
"53","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:37:59","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","1000","По запросу"
